code,name,price,eprice,eday,day,discount,delta,gamma,vega,theta,iv,time
CON_OP_10002047,50ETF购1月2700,0.3529,2.7000,2020-01-22,2,0.00509999999999966,1.0,0.0,0.0,-0.0002218813315776331,1e-05,15:00:13
CON_OP_10002048,50ETF购1月2750,0.3032,2.7500,2020-01-22,2,0.004799999999999804,1.0,0.0,0.0,-0.000225990245125367,1e-05,15:00:13
CON_OP_10002011,50ETF购1月2755A,0.2988,2.7550,2020-01-22,2,0.004199999999999926,1.0,0.0,0.0,-0.0002264011364801404,1e-05,15:00:13
CON_OP_10002049,50ETF购1月2800,0.2542,2.8000,2020-01-22,2,0.0038000000000000256,1.0,0.0,0.0,-0.00023009915867310096,1e-05,15:00:13
CON_OP_10002012,50ETF购1月2804A,0.2496,2.8040,2020-01-22,2,0.004400000000000015,1.0,0.0,0.0,-0.00023042787175691964,1e-05,15:00:13
CON_OP_10002050,50ETF购1月2850,0.2046,2.8500,2020-01-22,2,0.0033999999999997366,1.0,0.0,0.0,-0.00023420807222083488,1e-05,15:00:13
CON_OP_10002013,50ETF购1月2853A,0.2002,2.8530,2020-01-22,2,0.004799999999999638,1.0,0.0,0.0,-0.00023445460703369896,1e-05,15:00:13
CON_OP_10002051,50ETF购1月2900,0.1546,2.9000,2020-01-22,2,0.003399999999999931,1.0,0.0,0.0,-0.00023831698576856885,1e-05,15:00:13
CON_OP_10002014,50ETF购1月2903A,0.1520,2.9030,2020-01-22,2,0.0029999999999998084,1.0,0.0,0.0,-0.00023856352058143293,1e-05,15:00:13
CON_OP_10002052,50ETF购1月2950,0.1049,2.9500,2020-01-22,2,0.0030999999999996586,1.0,0.0,0.0,-0.00024242589931630282,1e-05,15:00:13
CON_OP_10002015,50ETF购1月2952A,0.1024,2.9520,2020-01-22,2,0.003599999999999867,1.0,0.0,0.0,-0.0002425902558582122,1e-05,15:00:13
CON_OP_10002053,50ETF购1月3000,0.0567,3.0000,2020-01-22,2,0.001299999999999829,1.0,0.0,0.0,-0.00024653481286403674,1e-05,15:00:13
CON_OP_10002016,50ETF购1月3050A,0.0138,3.0500,2020-01-22,2,-0.005799999999999993,0.6495164889017577,16.557192935532253,0.0008388684834271752,-0.002235735433265702,9.8876953125,15:00:13
CON_OP_10002054,50ETF购1月3100,0.0016,3.1000,2020-01-22,2,-0.04360000000000026,0.10408904910505057,5.541656252327483,0.0004090192425520412,-0.0014989380831254189,14.404296875,15:00:13
CON_OP_10002017,50ETF购1月3149A,0.0004,3.1490,2020-01-22,2,-0.09140000000000019,0.02223389406884638,1.197785755005964,0.00011987297291390828,-0.0005908756542110412,19.53125,15:00:13
CON_OP_10002055,50ETF购1月3200,0.0001,3.2000,2020-01-22,2,-0.14210000000000034,0.004687198483948953,0.25729627838730645,3.089988640896878e-05,-0.00018222572403232742,23.4375,15:00:13
CON_OP_10002018,50ETF购1月3247A,0.0001,3.2470,2020-01-22,2,-0.18910000000000005,0.00502906292741684,0.20546898199121463,3.290094591283036e-05,-0.0002582934712621181,31.25,15:00:13
CON_OP_10002103,50ETF购1月3300,0.0001,3.3000,2020-01-22,2,-0.24209999999999998,0.004477089409237527,0.14818571045061993,2.966049910150579e-05,-0.00029076849842558163,39.0625,15:00:13
CON_OP_10002019,50ETF购1月3345A,0.0001,3.3450,2020-01-22,2,-0.28710000000000035,0.002561095532804637,0.08155155678926801,1.795548205336961e-05,-0.000193518820706618,42.96875,15:00:13
CON_OP_10002111,50ETF购1月3400,0.0001,3.4000,2020-01-22,2,-0.34210000000000007,0.0025780641248388863,0.06941822232935897,1.8062962003535803e-05,-0.00022995573896251675,50.78125,15:00:13
CON_OP_10002207,50ETF购1月3500,0.0001,3.5000,2020-01-22,2,-0.44210000000000016,0.0019179280701504611,0.04314083493660993,1.3815946943703982e-05,-0.0002163498197854935,62.5,15:00:13
CON_OP_10002056,50ETF沽1月2700,0.0001,2.7000,2020-01-22,2,-0.35809999999999964,-0.003284576963919328,0.07016572472335722,2.2470727130544954e-05,-0.00035026777964562684,62.5,15:00:13
CON_OP_10002057,50ETF沽1月2750,0.0001,2.7500,2020-01-22,2,-0.3080999999999998,-0.002204374442375354,0.06024542668762549,1.5676155577454843e-05,-0.00019845344856001885,50.78125,15:00:13
CON_OP_10002020,50ETF沽1月2755A,0.0001,2.7550,2020-01-22,2,-0.3030999999999999,-0.002563007948033253,0.0690517322652682,1.7967599490924397e-05,-0.00022745280660238623,50.78125,15:00:13
CON_OP_10002058,50ETF沽1月2800,0.0001,2.8000,2020-01-22,2,-0.2581,-0.0026173716053836857,0.08316911219712815,1.8311624697846825e-05,-0.00019604274813183383,42.96875,15:00:13
CON_OP_10002021,50ETF沽1月2804A,0.0001,2.8040,2020-01-22,2,-0.2541,-0.0030040395504235535,0.09417821579683612,2.0735536268524e-05,-0.00022198265787156573,42.96875,15:00:13
CON_OP_10002059,50ETF沽1月2850,0.0001,2.8500,2020-01-22,2,-0.20809999999999973,-0.003203793104956708,0.12197588755438295,2.1972963000207496e-05,-0.00019231008501260753,35.15625,15:00:13
CON_OP_10002022,50ETF沽1月2853A,0.0001,2.8530,2020-01-22,2,-0.20509999999999962,-0.0036185463585288054,0.13607660769973468,2.4513092924590742e-05,-0.00021453029233549885,35.15625,15:00:13
CON_OP_10002060,50ETF沽1月2900,0.0001,2.9000,2020-01-22,2,-0.1580999999999999,-0.004154972274400103,0.19802588775469573,2.7745473254968145e-05,-0.0001886153925748312,27.34375,15:00:13
CON_OP_10002023,50ETF沽1月2903A,0.0001,2.9030,2020-01-22,2,-0.1550999999999998,-0.004824960264646456,0.2263110750270545,3.17085202882386e-05,-0.00021553696565377052,27.34375,15:00:13
CON_OP_10002061,50ETF沽1月2950,0.0002,2.9500,2020-01-22,2,-0.10819999999999966,-0.011328258064737773,0.6109101836894282,6.725308057454384e-05,-0.0003583596962181134,21.484375,15:00:13
CON_OP_10002024,50ETF沽1月2952A,0.0002,2.9520,2020-01-22,2,-0.10619999999999988,-0.012657496660905156,0.6726133316377131,7.40457759518051e-05,-0.00039450775342238264,21.484375,15:00:13
CON_OP_10002062,50ETF沽1月3000,0.0007,3.0000,2020-01-22,2,-0.05869999999999983,-0.04690947484443663,2.77091089545461,0.00022184757187467466,-0.000854745082509642,15.625,15:00:13
CON_OP_10002025,50ETF沽1月3050A,0.0085,3.0500,2020-01-22,2,-0.016500000000000008,-0.38968545254070786,12.394662222157969,0.0008683101312876029,-0.0028692102949196482,13.671875,15:00:13
CON_OP_10002063,50ETF沽1月3100,0.0461,3.1000,2020-01-22,2,-0.004099999999999743,-0.8135222309146619,5.848113919731591,0.0006072199919842656,-0.00286786153861301,20.263671875,15:00:13
CON_OP_10002026,50ETF沽1月3149A,0.0935,3.1490,2020-01-22,2,-0.002499999999999808,-0.9051593263264479,2.5037510706844173,0.0003821229519662196,-0.002610212108561214,29.78515625,15:00:13
