市场名称,代码,名称,类别,买卖,备兑属性,持仓,可用,开仓均价,最新价,市值,估算浮动盈亏,保证金,持仓类别,Delta,Gamma,Rho,Theta,Vega,时间价值,
上海股票期权,	10001920,50ETF沽3月2804A,认沽,卖,非备兑,5,0,0.0106,0.0298,-1514.29,-975.65,0.,义务仓,0.7176,-8.0789,0.3714,0.3646,-1.3753,-0.149,
上海股票期权,	10001927,50ETF购3月3345A,认购,卖,非备兑,15,10,0.0179,0.01,-1524.45,1204.32,26053.7,义务仓,-0.0661,-1.3841,-0.0329,0.0871,-0.2356,-0.15,
上海股票期权,	10002073,50ETF购3月3200,认购,卖,非备兑,75,0,0.0286,0.0193,-14475.00,6975.00,0.,义务仓,-3.3873,-50.8959,-1.6770,3.3209,-8.6642,-1.4475,
上海股票期权,	10002241,50ETF沽9月2850,认沽,卖,非备兑,15,15,0.0673,0.0955,-14325.00,-4230.00,46371.45,义务仓,3.9409,-17.7069,8.2026,0.4689,-11.7224,-1.4325,
上海股票期权,	10002077,50ETF沽3月2850,认沽,卖,非备兑,75,0,0.0185,0.0405,-30375.00,-16500.00,0.,义务仓,17.5696,-164.2373,9.1246,7.0106,-27.9589,-3.0375,
上海股票期权,	10002194,50ETF购2月3100,认购,卖,非备兑,10,0,0.0269,0.0138,-1380.00,1310.00,0.,义务仓,-0.6788,-12.5583,-0.1874,0.7999,-1.1877,-0.138,
上海股票期权,	10002200,50ETF沽2月2900,认沽,卖,非备兑,10,0,0.0171,0.0399,-3990.00,-2280.00,0.,义务仓,3.5327,-35.5932,1.0152,1.5576,-3.3662,-0.399,
上海股票期权,	10002241,50ETF沽9月2850,认沽,买,非备兑,5,5,0.0708,0.0955,4775.00,1235.00,0.,权利仓,-1.3136,5.9023,-2.7342,-0.1563,3.9075,0.4775,
上海股票期权,	10002077,50ETF沽3月2850,认沽,买,非备兑,10,10,0.0257,0.0405,4050.00,1480.00,0.,权利仓,-2.3426,21.8983,-1.2166,-0.9347,3.7278,0.405,
上海股票期权,	10002242,50ETF沽9月2900,认沽,买,非备兑,8,8,0.0842,0.1128,9024.00,2288.00,0.,权利仓,-2.6085,10.4366,-5.4548,-0.2357,6.9092,0.9024,
上海股票期权,	10002200,50ETF沽2月2900,认沽,买,非备兑,5,5,0.0379,0.0399,1995.00,100.00,0.,权利仓,-1.7664,17.7966,-0.5076,-0.7788,1.6831,0.1995,
