市场名称,代码,名称,类别,买卖,备兑属性,持仓,可用,开仓均价,最新价,市值,估算浮动盈亏,保证金,持仓类别,Delta,Gamma,Rho,Theta,Vega,时间价值
上海股票期权,"	10001920",50ETF沽3月2804A,认沽,卖,非备兑,5,0,0.0106,0.0118,-599.62,-60.98,0,义务仓,0.2189,-3.2962,0.1196,0.1535,-0.5888,-0.059
上海股票期权,"	10001927",50ETF购3月3345A,认购,卖,非备兑,5,0,0.0324,0.0126,-640.27,1006.14,0,义务仓,-0.0967,-1.6732,-0.051,0.1055,-0.2989,-0.063
上海股票期权,"	10002017",50ETF购1月3149A,认购,卖,非备兑,25,25,0.013,0.0002,-50.81,3252.16,80748.75,义务仓,0,-0.0001,0,0,0,-0.005
上海股票期权,"	10002025",50ETF沽1月3050A,认沽,卖,非备兑,2,2,0.0354,0.0372,-756.13,-36.59,8589.36,义务仓,1.8853,-9.3232,0.0315,0.2645,-0.0512,0.0056
上海股票期权,"	10002054",50ETF购1月3100,认购,卖,非备兑,15,5,0.0156,0.0004,-60,2280,18777.2,义务仓,-0.0028,-0.4273,0,0.0241,-0.0023,-0.006
上海股票期权,"	10002062",50ETF沽1月3000,认沽,卖,非备兑,10,0,0.0062,0.0076,-760,-140,0,义务仓,3.3013,-146.8269,0.0547,7.7138,-0.807,-0.076
上海股票期权,"	10002077",50ETF沽3月2850,认沽,卖,非备兑,48,0,0.0149,0.0179,-8592,-1440,0,义务仓,4.171,-53.9947,2.2848,2.4338,-9.6453,-0.8592
上海股票期权,"	10002097",50ETF沽6月2950,认沽,买,非备兑,25,25,0.0745,0.0739,18475,-150,0,权利仓,-7.0731,38.8209,-9.5246,-1.1752,16.6435,1.8475
上海股票期权,"	10002113",50ETF购3月3400,认购,卖,非备兑,65,17,0.0173,0.009,-5850,5395,43999.23,义务仓,-0.5092,-9.9454,-0.2688,0.6187,-1.7766,-0.585
上海股票期权,"	10002194",50ETF购2月3100,认购,卖,非备兑,6,6,0.0336,0.0302,-1812,204,25299.54,义务仓,-1.4675,-17.7604,-0.4386,1.1766,-1.806,-0.1812
上海股票期权,"	10002201",50ETF沽2月2950,认沽,卖,非备兑,5,5,0.0189,0.0257,-1285,-340,15545.7,义务仓,1.186,-14.5555,0.3695,0.6479,-1.4801,-0.1285
上海股票期权,10002149,300ETF沽2月2950,认沽,卖,,100,100,,0.0681,,,,,,,,,,
